V161198,V161178,V161126,V161310x,V161196x,V160101,V161087
NA,NA,NA,White,5,2.1914,15
1,6,4,NA,2,1.023,70
1,5,4,Black,4,0.5532,0
2,3,6,White,7,1.5316,40
5,3,5,White,3,1.0454,30
1,1,7,NA,6,1,100
3,5,4,Black,6,0.6221,0
3,5,5,White,1,0.2626,85
3,5,4,White,7,0.6756,0
4,4,NA,White,6,1.0789,0
4,5,NA,White,7,0.801,0
4,3,5,White,4,0.3336,70
NA,NA,3,White,7,2.1655,0
3,4,4,White,7,0.5087,40
5,7,NA,Black,7,0.6909,0
4,7,1,NA,2,0.6569,50
1,7,2,NA,4,0.6616,70
4,2,NA,White,4,0.5179,60
NA,NA,NA,White,7,0.97,50
4,2,6,NA,4,0.3137,50
7,NA,NA,White,7,0.4007,-88
7,6,5,NA,1,2.1615,15
5,4,NA,Black,7,1.3443,0
4,5,4,White,6,0.276,0
7,6,5,NA,7,0.4782,60
3,5,2,NA,7,0.3033,0
4,5,3,NA,1,1.6024,70
4,6,4,NA,6,0.6959,40
4,5,5,White,1,1.0345,60
3,5,4,White,2,1.4207,0
4,3,4,White,1,0.5618,60
6,2,4,White,6,1.3403,50
7,4,6,White,1,0.3618,85
2,5,3,NA,7,0.7433,0
7,NA,4,NA,1,0.4371,85
6,5,4,White,1,1.2593,85
5,3,6,White,1,0.2173,70
4,4,3,White,4,0.4746,0
1,6,4,Black,7,0.6646,0
4,NA,6,White,1,0.2988,100
5,3,4,White,7,1.4234,30
6,3,6,White,1,0.8301,85
NA,NA,NA,White,4,0.6919,70
NA,4,4,White,5,0.861,30
3,5,3,White,4,0.7365,60
4,NA,NA,Black,7,3.695,10
NA,3,4,White,7,0.7656,30
3,6,2,White,7,0.7934,0
4,NA,NA,White,7,1.4983,0
1,6,5,White,7,0.9459,0
5,2,5,White,7,0.6873,0
2,5,NA,NA,7,0.7115,0
1,NA,NA,NA,7,0.721,15
7,2,6,White,4,0.3022,85
4,4,4,White,7,0.8886,15
3,5,3,White,7,2.1391,15
NA,6,NA,NA,4,1.1249,0
1,NA,NA,NA,7,0.6344,40
7,4,6,White,1,0.6751,100
5,4,4,NA,7,0.4386,50
7,3,6,White,1,0.5769,85
7,4,6,NA,4,0.7693,15
6,4,4,White,4,0.9104,50
5,2,6,White,4,0.1235,70
NA,7,4,White,2,0.868,100
4,4,4,White,6,1.1656,0
2,6,1,White,7,0.9494,0
6,3,3,NA,7,0.366,0
NA,5,NA,NA,7,0.4672,0
4,4,4,White,7,1.1739,30
3,4,4,White,7,1.3555,0
6,3,3,White,4,1.8603,70
6,3,NA,NA,4,0.5613,60
4,3,5,White,7,0.3111,15
5,7,NA,White,1,0.6018,100
2,6,2,NA,7,0.8703,0
3,4,3,White,7,0.5582,0
NA,5,4,White,7,0.4598,60
7,4,NA,White,4,0.0993,50
6,4,4,NA,1,0.8374,50
4,7,2,White,7,1.5698,0
4,7,2,White,6,0.167,30
4,4,5,Black,5,2.9699,15
2,6,2,NA,4,0.4602,15
6,1,6,NA,2,0.5602,60
4,5,2,White,7,0.7929,0
NA,5,NA,NA,7,0.7531,50
5,NA,NA,NA,7,0.8967,50
7,4,6,Black,7,0.5134,15
NA,NA,NA,White,1,0.5384,85
2,5,1,White,7,0.8212,0
7,1,7,White,1,0.3419,100
1,4,4,NA,7,0.5785,0
5,4,4,White,3,0.317,60
5,5,4,White,4,0.2893,60
3,4,2,Black,7,0.6961,0
5,5,4,NA,7,0.7289,30
2,6,1,White,7,0.3801,0
NA,2,6,White,1,2.5844,70
7,1,NA,White,1,0.397,70
7,2,4,NA,4,0.6556,70
3,6,4,NA,7,0.3745,0
6,1,6,White,2,0.11,60
4,4,5,NA,4,0.3623,-88
NA,3,NA,White,4,0.8901,50
5,5,3,NA,4,0.4003,30
